tipo,pregunta,respuesta,fuente
respuesta_directa,¿Dónde está la biblioteca?,No tengo información suficiente en los documentos proporcionados.,-
respuesta_directa,¿Y cuales son sus horarios?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Cuáles son los horarios de atención de secretaría?,No tengo información suficiente en los documentos proporcionados.,-
respuesta_directa,¿Dónde se hace la matrícula?,La matrícula se realiza a través de la página web de automatrícula.,C:/Users/David/Desktop/Chatbot/Datos\Guia estudiante\guia-estudiante.pdf
respuesta_directa,¿Se puede aparcar en el campus?,No tengo información suficiente en los documentos proporcionados.,-
ambigua,¿Dónde?,"Por favor, especifica mejor tu pregunta.",-
ambigua,¿Es obligatorio?,"Por favor, especifica mejor tu pregunta.",-
ambigua,¿Qué debo llevar?,"Por favor, especifica mejor tu pregunta.",-
fuera_de_contexto,¿Quién ganó el Mundial en 2018?,No tengo información suficiente en los documentos proporcionados.,-
fuera_de_contexto,¿Cuántos habitantes tiene Australia?,No tengo información suficiente en los documentos proporcionados.,-
memoria,¿Cómo se solicita una beca?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS24031.pdf
memoria,¿Y los plazos?,"Por favor, especifica mejor tu pregunta.",-
memoria,¿Y es obligatoria?,"Por favor, especifica mejor tu pregunta.",-
