tipo,pregunta,respuesta,fuente
respuesta_directa,¿Dónde está la biblioteca?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Y cuales son sus horarios?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Cuáles son los horarios de atención de secretaría?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Dónde se hace la matrícula?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
respuesta_directa,¿Se puede aparcar en el campus?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Dónde?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Es obligatorio?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
ambigua,¿Qué debo llevar?,"Tu pregunta es ambigua. Por favor, intenta especificarla mejor o haz una pregunta más clara.",-
fuera_de_contexto,¿Quién ganó el Mundial en 2018?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\seguro-escolar\seguroEscolarGuia.pdf
fuera_de_contexto,¿Cuántos habitantes tiene Australia?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\seguro-escolar\seguroEscolarGuia.pdf
memoria,¿Cómo se solicita una beca?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\secretaria-alumnos\EstudiosExtranjerosCalendarioAdmision.pdf
memoria,¿Y los plazos?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Reconocimiento\SFS13710.pdf
memoria,¿Y es obligatoria?,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\Matricula\SFS17135.pdf
memoria,donde esta la secretaria,No tengo información suficiente en los documentos proporcionados.,C:/Users/David/Desktop/Chatbot/Datos\secretaria-alumnos\acta_tribunal_matriculas_de_honor20-21_ci-tsi_fdo_mb_-_bb.pdf
memoria,y cuando abren,La Secretaría de Alumnos está situada en la planta baja del Bloque VIII (Edificio Prisma) y abre de lunes a viernes de 9 a 14 horas.,C:/Users/David/Desktop/Chatbot/Datos\secretaria-alumnos\acta_tribunal_matriculas_de_honor20-21_ci-tsi_fdo_mb_-_bb.pdf
